PDOid,koeppen,landform
PDO-IT-A0783,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0785,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0786,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0787,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0790,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0792,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0793,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A0795,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0797,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A0798,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A0800,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0801,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0802,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A0803,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A0833,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A0834,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0835,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0837,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0838,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-IT-A0839,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A0842,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A0843,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A0844,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0845,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A0846,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0847,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0848,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-IT-A0849,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0851,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0876,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0879,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A0880,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0883,"Cfa Temperate, no dry season, hot summer",Rugged Lowlands
PDO-IT-A0903,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0904,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0905,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0906,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A0907,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0908,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0909,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0910,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A0938,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0939,"Cfb Temperate, no dry season, warm summer",Hills
PDO-IT-A0949,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0950,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0953,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0954,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0958,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0959,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0971,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0973,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0974,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0976,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0978,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0979,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1001,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A1010,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A1034,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1035,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-IT-A1036,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-IT-A1042,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1046,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1054,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1063,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1066,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1068,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1070,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1071,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1073,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1074,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-IT-A1075,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1083,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1084,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-IT-A1092,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1097,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-IT-A1098,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A1099,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A1100,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1104,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1106,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1108,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1111,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1118,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1122,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1124,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1133,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1137,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1138,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1139,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1142,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1147,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1158,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1164,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1167,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1169,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1170,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1171,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A1172,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1174,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1176,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1178,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1180,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1181,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1183,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A1184,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1186,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1187,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1188,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1189,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1191,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1192,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1194,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1199,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1201,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1210,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1213,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1220,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-IT-A1224,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1228,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1232,"Cfa Temperate, no dry season, hot summer",Mid Altitude Mountains 
PDO-IT-A1234,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A1235,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1236,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1237,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-IT-A1238,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1241,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1242,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-IT-A1243,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-IT-A1244,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1246,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1252,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1258,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1260,"BSk Arid, steppe, cold",Lowlands
PDO-IT-A1261,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1262,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1263,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1266,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1292,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1308,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1310,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1311,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1312,"BSk Arid, steppe, cold",Lowlands
PDO-IT-A1313,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1315,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-IT-A1318,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1319,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1320,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1322,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A1323,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-IT-A1324,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1325,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-IT-A1330,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1337,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1339,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-IT-A1348,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1358,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A1366,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A1377,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A1379,"BSk Arid, steppe, cold",Lowlands
PDO-IT-A1382,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1384,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1387,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1389,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1396,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1397,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1398,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A1399,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A1400,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1413,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1421,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1433,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1435,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1437,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1440,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1442,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1451,"BSk Arid, steppe, cold",Plains
PDO-IT-A1453,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-IT-A1456,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1458,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1464,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1486,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1488,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1490,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-IT-A1491,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1493,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1495,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1496,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1497,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1498,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A1510,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1512,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A1513,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1514,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A1515,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-IT-A1518,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-IT-A1519,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-IT-A1669,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-IT-A1671,"Csa Temperate, dry summer, hot summer",Plains
PDO-LU-A0452,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-MT-A1629,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-MT-A1630,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-NL-02114,"Cfb Temperate, no dry season, warm summer",Plains
PDO-NL-02168,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-NL-02169,"Cfb Temperate, no dry season, warm summer",Plains
PDO-NL-02230,"Cfb Temperate, no dry season, warm summer",Plains
PDO-NL-02402,"Cfb Temperate, no dry season, warm summer",Plains
PDO-PT-A0038,"Csb Temperate, dry summer, warm summer",Low Altitude Mountains
PDO-PT-A0039,"Csb Temperate, dry summer, warm summer",Low Altitude Mountains
PDO-PT-A1444,"Cfb Temperate, no dry season, warm summer",
PDO-PT-A1445,"Cfb Temperate, no dry season, warm summer",
PDO-PT-A1446,"Cfa Temperate, no dry season, hot summer",
PDO-PT-A1449,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-PT-A1450,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-PT-A1452,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-PT-A1454,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-PT-A1455,"Csb Temperate, dry summer, warm summer",Low Altitude Mountains
PDO-PT-A1457,"Csa Temperate, dry summer, hot summer",Plains
PDO-PT-A1460,"Csa Temperate, dry summer, hot summer",Plains
PDO-PT-A1461,"Csb Temperate, dry summer, warm summer",Lowlands
PDO-PT-A1462,"Csb Temperate, dry summer, warm summer",Lowlands
PDO-PT-A1463,"Csb Temperate, dry summer, warm summer",Lowlands
PDO-PT-A1465,"Csb Temperate, dry summer, warm summer",Lowlands
PDO-PT-A1466,"Csb Temperate, dry summer, warm summer",Low Plateaus
PDO-PT-A1468,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-PT-A1469,"Csb Temperate, dry summer, warm summer",Lowlands
PDO-PT-A1470,"Csb Temperate, dry summer, warm summer",Lowlands
PDO-PT-A1471,"Csb Temperate, dry summer, warm summer",Very Low Plateaus
PDO-PT-A1534,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-PT-A1537,"Csb Temperate, dry summer, warm summer",Lowlands
PDO-PT-A1539,"Csa Temperate, dry summer, hot summer",Hills
PDO-PT-A1540,"Csa Temperate, dry summer, hot summer",Hills
PDO-PT-A1541,"Csb Temperate, dry summer, warm summer",Low Altitude Mountains
PDO-PT-A1542,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-PT-A1544,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-PT-A1545,"Csb Temperate, dry summer, warm summer",Hills
PDO-PT-A1546,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-RO-A0027,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A0028,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A0029,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A0030,"BSk Arid, steppe, cold",Plains
PDO-RO-A0105,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0132,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-RO-A0133,"BSk Arid, steppe, cold",Plains
PDO-RO-A0134,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A0135,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-RO-A0136,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-RO-A0138,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-RO-A0139,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-RO-A0282,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-RO-A0286,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-RO-A0365,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0366,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0368,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0369,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0371,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0611,"BSk Arid, steppe, cold",Lowlands
PDO-RO-A0624,"BSk Arid, steppe, cold",Plains
PDO-RO-A1062,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1064,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A1067,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1072,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-RO-A1079,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1093,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A1193,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A1214,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1309,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A1336,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1424,"BSk Arid, steppe, cold",Plains
PDO-RO-A1558,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1575,"BSk Arid, steppe, cold",Plains
PDO-RO-A1577,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A1583,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-RO-A1584,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A1586,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-N0037,"BSk Arid, steppe, cold",Lowlands
PDO-RO-N1588,"BSk Arid, steppe, cold",Plains
PDO-SI-A0270,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-SI-A0448,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-SI-A0609,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-SI-A0616,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-SI-A0639,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A0769,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A0772,"Dfb Cold, no dry season, warm summer",Hills
PDO-SI-A0871,"Dfb Cold, no dry season, warm summer",Hills
PDO-SI-A0878,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A1520,"Dfb Cold, no dry season, warm summer",Hills
PDO-SI-A1561,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A1576,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A1579,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A1581,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-SK-01899,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SK-A0120,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1354,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1355,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SK-A1356,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1357,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1360,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1598,"Dfb Cold, no dry season, warm summer",Plains
